% # columns="iteration, evaluation, void, void, void, xmean", seed=309070, Wed Mar  8 11:44:10 2023, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 9 0 0 0 44.40620109917897 18.14682843693113 10.33895565968952 14.45470275827793 5.4140958443253915 -0.6454723403060583
2 18 0 0 0 47.461665921607064 17.76095503858895 8.809400804901587 12.239458286265226 7.211958775909374 0.7671415880525263
3 27 0 0 0 45.9665671935649 13.669516508131323 9.548853537421122 10.967544362017904 6.325890638559205 -3.629268994619803
4 36 0 0 0 49.49713974576719 12.546181859638967 10.108460089399784 12.565026112036373 1.2389054769531072 -2.216933216213699
5 45 0 0 0 50.46385456785864 11.634186983036749 11.456450190554877 13.442834759756359 1.2080154059316985 -5.512624351928943
6 54 0 0 0 47.302955525880805 11.855589298305825 10.025766655817888 14.924986437532613 0.15451698980116024 -7.564424689313916
7 63 0 0 0 49.38382227415297 8.05114105868922 10.033832765605233 15.470153704665254 -0.37710527963050533 -4.368041501344312
8 72 0 0 0 49.28387161159106 7.670440868563144 9.193314124202466 17.16102501518693 -0.4946251120222853 -7.163381192001973
9 81 0 0 0 52.759752890317834 4.456393955920963 9.458499036481184 17.118259516709404 1.1730619121439203 -2.8528740348368142
10 90 0 0 0 56.842931426986944 0.8291315751132724 9.366792727654412 15.922719354873815 0.8515782919604998 -4.541701778756311
11 99 0 0 0 59.042168404732394 4.312041538937472 10.391185650706596 14.199478261641456 2.113717912505804 -3.215232688025269
12 108 0 0 0 61.32432648443508 -0.9033020126851339 9.31381428789276 10.885448050461541 7.379102693534913 -1.718755441055753
13 117 0 0 0 56.09715334005996 2.3955835642402676 7.394034823664124 12.076639455079848 6.205002060311249 -7.338598858019209
14 126 0 0 0 56.59509074030963 1.709118844469212 8.653547278519438 15.974270375563854 5.875388062280268 -6.89734183395184
15 135 0 0 0 54.84746917332006 6.17685524884739 9.254286547536365 13.497528945657175 7.109006075337498 -6.325623584466623
16 144 0 0 0 52.91343305006881 7.682474483804163 10.112566280176589 15.241439891992002 4.748746744135025 -6.4593547266598055
17 153 0 0 0 58.26654926425606 5.967422511321846 11.652470663491652 15.497684493602481 2.9881273357117593 -4.281474816575814
18 162 0 0 0 57.02406457305167 9.710443095458125 12.46191576237231 17.075796105510396 0.6985476622782603 -6.869385128801074
19 171 0 0 0 58.48030170955554 12.128642699087598 12.36649035762252 14.81361979409904 2.1358434909172015 -8.21658233260624
20 180 0 0 0 59.96543913702148 8.531852717118333 13.072511432871956 16.902922529360715 3.180869809566826 -5.768870923266331
21 189 0 0 0 63.719337117358506 5.687448425460152 14.53004172177498 16.197241507647227 3.564389438805253 -2.568292705283078
22 198 0 0 0 66.03371485171459 5.5762995429583935 13.653239407387101 15.12479143996382 4.890613723046852 -3.48151623063407
23 207 0 0 0 65.76664016336358 4.874441397991731 13.781933957467986 18.74750669775695 3.815077943900381 -3.1796987821499827
24 216 0 0 0 65.52573448992278 4.616227996911011 14.424683698727392 19.619155464089044 2.5543281621200737 -1.202172844784375
